CI.JRC2,2019-07-06T00:11:05.028000Z,2019-07-06T00:11:09.588000Z,1.4584295069311859e-06,8558.3
CI.MPM,2019-07-06T00:11:05.048000Z,2019-07-06T00:11:09.598000Z,4.264894019624416e-07,28777.8
CI.WBM,2019-07-06T00:11:05.493000Z,2019-07-06T00:11:10.233000Z,3.07791386323626e-06,9427.9
CI.CLC,2019-07-06T00:11:00.758000Z,2019-07-06T00:11:01.508000Z,1.3244094756389225e-05,1232747.5
2019-07-06T00:14:41.325600Z,35.77,-117.55,9,3.14,0.4
CI.TOW2,2019-07-06T00:14:45.018000Z,2019-07-06T00:14:48.158000Z,7.45923087415866e-06,4429.9
CI.SRT,2019-07-06T00:14:45.028000Z,2019-07-06T00:14:48.078000Z,9.285276961771656e-06,4328.1
CI.JRC2,2019-07-06T00:14:47.198000Z,2019-07-06T00:14:51.678000Z,2.8535168854027227e-06,3812.5
CI.CCC,2019-07-06T00:14:48.308000Z,2019-07-06T00:14:53.548000Z,8.37155420080623e-06,3112.6
CI.LRL,2019-07-06T00:14:47.478000Z,2019-07-06T00:14:52.018000Z,1.2536003531717997e-06,1311.5
CI.WMF,2019-07-06T00:14:49.608000Z,2019-07-06T00:14:55.698000Z,1.992230781411122e-06,1920.3
CI.WBM,2019-07-06T00:14:47.693000Z,2019-07-06T00:14:52.313000Z,4.904685319256773e-06,2347.9
CI.SLA,2019-07-06T00:14:47.428000Z,2019-07-06T00:14:51.808000Z,4.7606023296101704e-06,213.6
CI.MPM,2019-07-06T00:14:47.578000Z,2019-07-06T00:14:52.058000Z,1.0699932295862436e-06,9394.0
CI.CLC,2019-07-06T00:14:42.808000Z,2019-07-06T00:14:43.498000Z,6.444589660673177e-06,168869.7
2019-07-06T00:18:57.230000Z,35.77,-117.57,9,2.95,0.4
CI.JRC2,2019-07-06T00:19:02.988000Z,2019-07-06T00:19:07.498000Z,1.5110561710068882e-06,48284.4
CI.SRT,2019-07-06T00:19:00.868000Z,2019-07-06T00:19:03.818000Z,4.540449174585275e-06,11322.5
CI.LRL,2019-07-06T00:19:03.438000Z,2019-07-06T00:19:08.118000Z,1.0255788294237517e-06,1928.5
CI.WMF,2019-07-06T00:19:05.428000Z,2019-07-06T00:19:11.548000Z,9.777696443315346e-07,6635.9
CI.TOW2,2019-07-06T00:19:00.788000Z,2019-07-06T00:19:03.488000Z,9.31339386848216e-06,11061.4
CI.CCC,2019-07-06T00:19:04.438000Z,2019-07-06T00:19:09.738000Z,2.621782647971301e-06,4032.7
CI.MPM,2019-07-06T00:19:03.668000Z,2019-07-06T00:19:08.358000Z,5.462117460928901e-07,181562.1
CI.CLC,2019-07-06T00:18:58.988000Z,2019-07-06T00:19:00.128000Z,1.1310996668415631e-05,75097.6
CI.WBM,2019-07-06T00:19:03.463000Z,2019-07-06T00:19:07.893000Z,1.80441094017878e-06,4480.3
CI.SLA,2019-07-06T00:19:03.608000Z,2019-07-06T00:19:08.088000Z,4.7290509401667085e-06,888.8
2019-07-06T00:46:54.258400Z,35.67,-117.47,9,2.12,0.3
CI.TOW2,2019-07-06T00:46:59.888000Z,2019-07-06T00:47:04.708000Z,3.4558197448113426e-07,4988.8
CI.CCC,2019-07-06T00:46:58.908000Z,2019-07-06T00:47:02.798000Z,6.413038114883395e-07,1229.8
CI.SRT,2019-07-06T00:46:58.978000Z,2019-07-06T00:47:02.748000Z,1.353325767556648e-06,4582.8
CI.SLA,2019-07-06T00:47:00.158000Z,2019-07-06T00:47:04.728000Z,3.608061899681725e-07,347.7
CI.LRL,2019-07-06T00:46:59.368000Z,2019-07-06T00:47:03.128000Z,5.075499091210648e-07,1069.9
CI.WMF,2019-07-06T00:47:04.608000Z,2019-07-06T00:47:12.218000Z,9.632451062445325e-08,147.4
CI.WBM,2019-07-06T00:47:01.183000Z,2019-07-06T00:47:06.243000Z,9.63899996117412e-07,81.8
CI.CLC,2019-07-06T00:46:57.838000Z,2019-07-06T00:47:00.418000Z,9.847788464198666e-07,8379.4
CI.MPM,2019-07-06T00:47:01.848000Z,2019-07-06T00:47:07.358000Z,2.1330198957024788e-07,4541.3
CI.JRC2,2019-07-06T00:47:02.258000Z,2019-07-06T00:47:07.998000Z,2.885113177603742e-07,4617.9
2019-07-06T00:50:41.634400Z,35.75,-117.55,9,2.08,0.3
CI.TOW2,2019-07-06T00:50:45.528000Z,2019-07-06T00:50:49.028000Z,5.441365401454041e-07,29466.2
CI.CCC,2019-07-06T00:50:48.158000Z,2019-07-06T00:50:53.408000Z,3.2845394242302076e-07,94.8
CI.SRT,2019-07-06T00:50:45.468000Z,2019-07-06T00:50:48.698000Z,6.009497496782771e-07,2116.3
CI.LRL,2019-07-06T00:50:47.648000Z,2019-07-06T00:50:52.188000Z,1.7957446204403166e-07,189.4
CI.JRC2,2019-07-06T00:50:47.648000Z,2019-07-06T00:50:52.098000Z,2.70875205859872e-07,1832.7
CI.SLA,2019-07-06T00:50:47.428000Z,2019-07-06T00:50:51.688000Z,8.622368667643942e-07,19.5
CI.CLC,2019-07-06T00:50:43.398000Z,2019-07-06T00:50:44.678000Z,1.951576043098729e-06,291306.6
CI.MPM,2019-07-06T00:50:47.818000Z,2019-07-06T00:50:52.338000Z,9.575221242814027e-08,16149.7
CI.WMF,2019-07-06T00:50:49.988000Z,2019-07-06T00:50:56.098000Z,1.5224242776099884e-07,435.0
CI.WBM,2019-07-06T00:50:48.063000Z,2019-07-06T00:50:52.653000Z,6.243622638848334e-07,148.3
2019-07-06T01:06:12.272000Z,35.67,-117.47,9,1.98,0.3
CI.TOW2,2019-07-06T01:06:17.688000Z,2019-07-06T01:06:22.368000Z,3.4739424615375934e-07,130.8
CI.SRT,2019-07-06T01:06:16.908000Z,2019-07-06T01:06:20.728000Z,2.3587184855798276e-07,287.1
CI.SLA,2019-07-06T01:06:17.878000Z,2019-07-06T01:06:22.148000Z,2.805361936207559e-07,24.9
CI.MPM,2019-07-06T01:06:19.478000Z,2019-07-06T01:06:24.848000Z,4.56499424869588e-08,270.2
CI.LRL,2019-07-06T01:06:17.608000Z,2019-07-06T01:06:21.538000Z,3.1698689405835177e-07,93.5
CI.CCC,2019-07-06T01:06:17.168000Z,2019-07-06T01:06:20.768000Z,4.679859829900889e-07,18.9
CI.CLC,2019-07-06T01:06:15.528000Z,2019-07-06T01:06:17.848000Z,4.945949176905669e-07,205.8
CI.JRC2,2019-07-06T01:06:19.978000Z,2019-07-06T01:06:25.538000Z,2.2311711995929333e-07,52.5
CI.WBM,2019-07-06T01:06:19.233000Z,2019-07-06T01:06:24.243000Z,1.9627181418135027e-07,74.3
CI.WMF,2019-07-06T01:06:22.728000Z,2019-07-06T01:06:29.378000Z,6.462686592145024e-08,18.0
2019-07-06T01:39:46.194000Z,35.67,-117.45,9,1.76,0.3
CI.TOW2,2019-07-06T01:39:51.998000Z,2019-07-06T01:39:57.348000Z,1.2887808682152462e-07,393.9
CI.SRT,2019-07-06T01:39:51.168000Z,2019-07-06T01:39:55.118000Z,1.4306566936447003e-07,124.2
CI.MPM,2019-07-06T01:39:53.528000Z,2019-07-06T01:39:59.098000Z,3.3417584164648106e-08,299.4
CI.LRL,2019-07-06T01:39:51.598000Z,2019-07-06T01:39:55.618000Z,1.8310880885393946e-07,53.0
CI.SLA,2019-07-06T01:39:51.778000Z,2019-07-06T01:39:55.908000Z,1.8433482380780493e-07,36.8
CI.CLC,2019-07-06T01:39:49.798000Z,2019-07-06T01:39:52.448000Z,3.3750238568944985e-07,91.8
CI.WMF,2019-07-06T01:39:56.558000Z,2019-07-06T01:40:04.178000Z,5.2478115287390195e-08,153.8
CI.WBM,2019-07-06T01:39:53.463000Z,2019-07-06T01:39:58.613000Z,1.946628275112306e-07,46.5
CI.JRC2,2019-07-06T01:39:54.268000Z,2019-07-06T01:39:59.928000Z,1.2256271075749592e-07,1308.8
CI.CCC,2019-07-06T01:39:50.808000Z,2019-07-06T01:39:53.698000Z,5.849033789492718e-07,36.4
2019-07-06T01:41:01.890000Z,35.73,-117.53,9,1.51,0.3
CI.TOW2,2019-07-06T01:41:06.198000Z,2019-07-06T01:41:09.878000Z,1.325956664844529e-07,622.1
CI.CCC,2019-07-06T01:41:08.048000Z,2019-07-06T01:41:12.918000Z,8.157753814199999e-08,32.5
CI.JRC2,2019-07-06T01:41:08.408000Z,2019-07-06T01:41:13.298000Z,6.850029630835718e-08,318.3
CI.MPM,2019-07-06T01:41:08.458000Z,2019-07-06T01:41:13.348000Z,2.3262002800991615e-08,1874.7
CI.LRL,2019-07-06T01:41:07.648000Z,2019-07-06T01:41:11.918000Z,4.754180833930652e-08,22.6
CI.WMF,2019-07-06T01:41:10.798000Z,2019-07-06T01:41:17.348000Z,3.070211624807265e-08,33.9
CI.SLA,2019-07-06T01:41:07.758000Z,2019-07-06T01:41:11.958000Z,1.4085601644788276e-07,27.5
CI.WBM,2019-07-06T01:41:08.473000Z,2019-07-06T01:41:13.103000Z,1.4521224825462265e-07,51.5
CI.SRT,2019-07-06T01:41:05.828000Z,2019-07-06T01:41:08.498000Z,2.3719151707380451e-07,542.7
CI.CLC,2019-07-06T01:41:04.008000Z,2019-07-06T01:41:05.328000Z,5.308382086504109e-07,11659.4
2019-07-06T02:11:11.977200Z,35.61,-117.57,9,2.75,0.2
